level3,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
Aromatic_Amin_Catabolism,57,55,21,13
CBSS-176279.3.peg.868,161,156,68,63
CBSS-222523.1.peg.1311,379,339,156,148
CBSS-224911.1.peg.435,384,372,96,88
CBSS-323850.3.peg.3284,26,31,21,16
CBSS-393121.3.peg.1913,616,568,196,181
COG3380_COG2907,892,826,203,190
Chitin_and_N-acetylglucosamine_utilization,241,220,76,75
ClpS_like_protein_and_vWFA-like_protein_cluster,3,3,1,0
Colanic_acid_biosynthesis,247,222,56,48
Copper_homeostasis,472,428,133,116
Core_Oligosaccharide_Glycosylation_in_Pseudomonas,10,9,8,7
D-ribose_utilization,65,61,31,30
Flagellar_motility,290,238,85,74
Formate_dehydrogenase,3,2,1,0
General_Secretion_Pathway,534,488,161,137
Glutathione-regulated_potassium-efflux_system_and_associated_functions,258,247,111,101
Hexose_Phosphate_Uptake_System,26,22,11,9
Lysine_degradation,176,168,97,73
Menaquinone_Biosynthesis_via_Futalosine_--_gjo,152,137,40,42
Methionine_Degradation,70,63,26,24
Nucleoid-associated_proteins_in_Bacteria,5,4,1,1
Orphan_regulatory_proteins,49,45,38,26
Pertussis_toxin,5,5,0,0
Phenylpropanoid_compound_degradation,206,175,33,36
Photorespiration_(oxidative_C2_cycle),1456,1376,492,436
Polyamine_Metabolism,562,516,207,205
Propionyl-CoA_to_Succinyl-CoA_Module,673,585,218,201
Quorum_Sensing:_Autoinducer-2_Synthesis,681,648,251,233
Recycling_of_Peptidoglycan_Amino_Acids,465,425,133,135
Resistance_to_fluoroquinolones,1759,1677,541,494
Ribosome_SSU_eukaryotic_and_archaeal,28,21,64,60
Rrf2_family_transcriptional_regulators,104,88,21,20
SeqA_and_Co-occurring_Genes,183,161,56,60
Serotype_determining_Capsular_polysaccharide_biosynthesis_in_Staphylococcus,14,14,7,5
Shikimate_kinase_containing_cluster,128,122,42,33
SigmaB_stress_responce_regulation,114,108,31,28
Taurine_Utilization,206,207,67,59
Terminal_cytochrome_C_oxidases,1577,1536,709,684
Unknown_carbohydrate_utilization_(_cluster_Ydj_),289,277,91,83
Vibrio_Polysaccharide_(VPS)_Biosynthesis,31,30,14,14
Vir-like_type_4_secretion_system,8,7,5,4
ZZ_gjo_need_homes,1755,1677,520,472
coenzyme_M_biosynthesis,100,94,34,27
"tRNA_aminoacylation,_Gly",1103,993,339,307
"tRNA_aminoacylation,_Met",737,635,253,233
tRNA_modification_Bacteria,2431,2249,668,602
