family,nador_2_counts,oualidia_2_counts,oualidia_1_counts,nador_1_counts
Acidimicrobiaceae,14.990000000000002,4.0,3.0,14.45
Acidobacteriaceae,14.64,34.0,35.0,19.26
Alcaligenaceae,66.06,73.0,95.0,79.24000000000001
Amoebophilaceae,14.82,22.0,14.0,12.36
Anaeromyxobacteraceae,22.09,35.0,30.0,30.489999999999995
Anaplasmataceae,47.70999999999999,47.0,37.0,32.89
Aphanothecaceae,2.46,29.0,9.0,2.52
Bdellovibrionaceae,41.92,19.0,35.0,33.76
Bradyrhizobiaceae,297.0400000000001,293.0,310.0,327.26000000000005
Cardiobacteriaceae,4.1,6.0,8.0,8.25
Carnobacteriaceae,1.73,1.0,1.0,0.0
Clostridiaceae,76.23,73.0,81.0,42.37
Deinococcaceae,7.41,11.0,10.0,16.4
Dermabacteraceae,3.48,19.0,21.0,1.64
Didelphidae,10.81,19.0,12.0,18.1
Ectocarpaceae,0.0,8.0,13.0,0.0
Eggerthellaceae,3.22,4.0,7.0,3.3
Entomoplasmataceae,0.0,3.0,4.0,0.0
Erwiniaceae,38.3,41.0,28.0,40.32000000000001
Eubacteriaceae,13.96,20.0,18.0,6.4
Glycomycetaceae,7.35,7.0,4.0,0.0
Halobacteroidaceae,4.85,2.0,3.0,0.0
Haloferacaceae,1.64,1.0,1.0,0.0
Heliobacteriaceae,3.31,2.0,4.0,0.0
Idiomarinaceae,74.42,84.0,80.0,96.45999999999998
Iridoviridae,17.37,33.0,24.0,11.450000000000001
Marchantiaceae,4.0,3.0,6.0,2.5
Mariprofundaceae,6.48,4.0,3.0,3.12
Methanococcaceae,8.43,13.0,10.0,10.059999999999999
Methanosarcinaceae,14.83,64.0,61.0,14.05
Methylococcaceae,44.75999999999999,45.0,60.0,45.800000000000004
Moraxellaceae,106.78999999999999,117.0,117.0,128.45000000000002
Natranaerobiaceae,0.0,1.0,4.0,0.0
Neisseriaceae,26.340000000000007,48.0,70.0,33.050000000000004
Oxalobacteraceae,28.049999999999997,39.0,56.0,34.48
Phaeosphaeriaceae,1.66,5.0,7.0,2.48
Poaceae,10.629999999999999,73.0,90.0,8.129999999999999
Psathyrellaceae,0.0,13.0,12.0,0.0
Rhodobiaceae,110.59999999999998,138.0,110.0,119.26000000000002
Rhodocyclaceae,82.54,101.0,109.0,111.90000000000002
Rhodothermaceae,45.31999999999999,41.0,46.0,57.46000000000001
Sphaerobacteraceae,11.71,8.0,8.0,4.02
Sphingomonadaceae,167.08000000000004,166.0,174.0,178.61999999999998
Syntrophobacteraceae,1.68,7.0,6.0,11.309999999999999
Tannerellaceae,1.61,3.0,2.0,3.3099999999999996
Thermaceae,25.65,27.0,18.0,21.37
Thermodesulfobiaceae,0.0,5.0,4.0,0.0
Thermomicrobiaceae,6.6899999999999995,2.0,3.0,0.0
Trypanosomatidae,0.0,55.0,76.0,3.37
